,Timestamp,SSC,SSU,Enclosure,Slot,Seagate slot,Rack unit,Unique enclosure,Rack id,slot bin hor,slot bin ver
0,2019-01-04T14:41:12-0500,2,g,1,29,28,1,1,8,7,3
1,2019-01-04T15:47:17-0500,5,d,2,23,22,25,6,18,13,2
2,2019-01-04T16:11:15-0500,5,b,2,97,96,25,6,17,1,1
3,2019-01-04T17:41:12-0500,1,h,2,13,12,25,6,4,3,2
4,2019-01-09T12:11:21-0500,3,a,4,4,3,17,4,9,6,1
5,2019-01-09T12:40:52-0500,6,g,4,6,5,17,4,24,8,1
6,2019-01-09T16:11:25-0500,10,b,1,72,71,21,5,36,14,6
7,2019-01-09T16:11:27-0500,4,d,2,95,94,25,6,14,13,8
8,2019-01-09T22:41:28-0500,6,e,3,91,90,13,3,23,9,8
9,2019-01-11T12:41:30-0500,2,a,4,29,28,17,4,5,7,3
10,2019-01-11T15:41:30-0500,6,e,2,51,50,5,2,23,5,5
11,2019-01-12T04:41:24-0500,3,a,2,4,3,5,2,9,6,1
12,2019-01-12T20:11:16-0500,1,f,4,69,68,37,8,3,11,6
13,2019-01-13T12:11:18-0500,5,b,1,77,76,21,5,17,7,7
14,2019-01-13T22:41:29-0500,6,b,2,6,5,25,6,21,8,1
15,2019-01-14T09:11:27-0500,4,h,2,105,104,25,6,16,1,5
16,2019-01-14T16:41:29-0500,9,g,2,62,61,5,2,35,4,6
17,2019-01-14T20:11:32-0500,8,c,3,19,18,13,3,30,9,2
18,2019-01-16T06:57:33-0500,2,h,2,34,33,25,6,8,12,3
19,2019-01-16T14:27:19-0500,9,f,3,24,23,33,7,34,14,2
20,2019-01-16T16:27:35-0500,3,d,1,51,50,21,5,10,5,5
21,2019-01-16T17:57:48-0500,6,b,4,49,48,37,8,21,3,5
22,2019-01-16T20:27:58-0500,5,c,4,25,24,17,4,18,3,3
23,2019-01-16T22:27:38-0500,10,e,4,105,104,17,4,38,1,5
24,2019-01-17T03:58:00-0500,5,c,2,37,36,5,2,18,3,4
25,2019-01-17T04:56:58-0500,8,e,4,3,2,17,4,31,5,1
26,2019-01-17T04:58:00-0500,9,c,2,67,66,5,2,33,9,6
27,2019-01-17T15:57:06-0500,3,f,4,20,19,37,8,11,10,2
28,2019-01-17T19:57:27-0500,8,d,1,1,0,21,5,30,3,1
29,2019-01-17T21:27:20-0500,7,h,4,26,25,37,8,28,4,3
30,2019-01-18T00:58:01-0500,2,d,4,76,75,37,8,6,6,7
31,2019-01-18T06:29:59-0500,7,a,4,12,11,17,4,25,14,1
