,Year,Week,number_of_failures
0,2021,18,35
1,2021,19,26
2,2021,20,4
3,2021,21,21
4,2021,22,7
5,2021,23,2
6,2021,24,11
7,2021,25,11
8,2021,26,18
9,2021,27,27
10,2021,28,3
11,2021,29,4
12,2021,30,200
13,2021,31,66
14,2021,32,3
15,2021,33,17
16,2021,36,4
17,2021,37,1
18,2021,38,2
19,2021,39,83
20,2021,40,17
21,2021,41,1
22,2021,44,3
23,2021,45,13
24,2021,46,1
25,2021,48,2
26,2021,50,5
27,2021,51,2
28,2021,52,3
29,2022,1,2
30,2022,2,3
31,2022,3,8
32,2022,4,4
33,2022,6,1
34,2022,7,1
35,2022,8,18
36,2022,9,1
37,2022,11,23
38,2022,12,14
39,2022,13,2
40,2022,14,17
41,2022,15,2
42,2022,16,1
43,2022,17,14
44,2022,19,1
45,2022,20,8
46,2022,21,8
47,2022,22,3
48,2022,23,2
49,2022,24,15
50,2022,25,2
51,2022,26,1
52,2022,27,10
53,2022,29,1
54,2022,30,3
55,2022,32,1
56,2022,33,1
57,2022,34,1
58,2022,35,1
59,2022,38,1
60,2022,40,1
61,2022,41,2
62,2022,43,1
63,2022,44,2
64,2022,46,2
65,2022,47,6
66,2022,48,2
67,2022,50,1
68,2022,52,1
69,2023,1,1
70,2023,2,4
71,2023,3,1
72,2023,6,63
73,2023,7,23
74,2023,8,1
75,2023,9,49
76,2023,10,25
77,2023,11,3
78,2023,12,5
79,2023,13,200
80,2023,14,25
81,2023,15,75
82,2023,16,31
83,2023,17,12
84,2023,18,1
85,2023,19,3
86,2023,20,3
87,2023,21,1
88,2023,22,1
89,2023,23,5
90,2023,24,4
91,2023,25,53
92,2023,26,12
93,2023,27,4
94,2023,28,2
95,2023,29,1
96,2023,30,1
